,Airline,Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price,Date,Month,Dep_Hour,Dep_Minute,Arr_Hour,Arr_Minute
0,3,0,2,18,170,0,8,3897,24,3,22,20,1,10
1,1,3,0,84,445,2,8,7662,1,5,5,50,13,15
2,4,2,1,118,1140,2,8,13882,9,6,9,25,4,25
3,3,3,0,91,325,1,8,6218,12,5,18,5,23,30
4,3,0,2,29,285,1,8,13302,1,3,16,50,21,35
5,8,3,0,64,145,0,8,3873,24,6,9,0,11,25
6,4,0,2,5,930,1,5,11087,12,3,18,55,10,25
7,4,0,2,5,1265,1,8,22270,1,3,8,0,5,5
8,4,0,2,5,1530,1,5,11087,12,3,8,55,10,25
9,6,2,1,104,470,1,8,8625,27,5,11,25,19,15
10,1,2,1,103,795,1,8,8907,1,6,9,45,23,0
11,3,3,0,64,155,0,8,4174,18,4,20,20,22,55
12,1,1,4,127,135,0,8,4667,24,6,11,40,13,55
13,4,3,0,66,730,1,5,9663,9,5,21,10,9,20
14,3,3,0,64,155,0,8,4804,24,4,17,15,19,50
15,1,2,1,97,1595,2,8,14011,3,3,16,40,19,15
16,8,2,1,123,270,1,8,5830,15,4,8,45,13,15
17,4,2,1,104,1355,1,5,10262,12,6,14,0,12,35
18,1,2,1,105,1380,2,8,13381,12,6,20,15,19,15
19,4,2,1,104,1235,1,5,12898,27,5,16,0,12,35
20,2,2,1,104,310,1,8,19495,6,3,14,10,19,20
21,1,0,2,17,920,1,8,6955,21,3,22,0,13,20
22,3,0,2,18,170,0,8,3943,3,4,4,0,6,50
23,3,0,2,18,175,0,8,4823,1,5,18,55,21,50
24,4,3,0,66,800,1,5,7757,6,5,18,55,8,15
25,4,2,1,113,910,2,8,13292,9,6,21,25,12,35
26,3,2,1,119,345,1,8,8238,1,6,21,50,3,35
27,2,2,1,104,355,1,8,7682,15,5,7,0,12,55
28,10,0,2,18,170,0,8,4668,18,6,9,45,12,35
29,10,1,4,127,135,0,8,3687,15,6,7,5,9,20
30,10,1,4,127,135,0,8,3687,18,6,7,5,9,20
31,1,3,0,78,805,2,8,13227,1,5,9,50,23,15
32,3,0,2,18,170,0,8,4423,6,4,4,0,6,50
33,4,2,1,122,1320,2,5,10919,15,6,14,35,12,35
34,4,2,1,104,330,1,5,12373,18,5,7,5,12,35
35,3,2,1,104,625,1,8,5894,27,6,10,35,21,0
36,8,3,0,90,315,1,8,4649,21,5,15,5,20,20
37,1,3,0,64,150,0,8,6245,18,5,14,15,16,45
38,4,0,2,5,375,1,8,19225,6,3,7,0,13,15
39,4,2,1,104,715,1,8,14924,3,6,7,5,19,0
40,6,2,1,111,665,1,8,9646,21,5,7,5,18,10
41,1,0,2,5,510,1,8,8714,15,3,6,45,15,15
42,4,2,1,104,1325,1,5,12373,18,5,20,55,19,0
43,0,0,2,18,165,0,8,3383,6,5,11,10,13,55
44,6,2,1,104,720,1,8,13062,21,3,9,0,21,0
45,8,0,2,18,170,0,7,3527,24,3,5,45,8,35
46,3,0,2,18,170,0,8,3943,27,5,4,0,6,50
47,1,1,4,127,135,0,8,4667,3,5,11,40,13,55
48,1,3,0,80,965,1,8,6117,15,5,19,0,11,5
49,4,2,1,97,1195,2,5,11150,27,6,23,5,19,0
50,4,2,1,106,195,0,5,7202,9,3,11,0,14,15
51,4,3,0,73,1520,1,8,12121,1,5,9,35,10,55
52,3,0,2,18,170,0,8,4377,24,3,22,20,1,10
53,3,0,2,18,180,0,8,3943,18,6,21,15,0,15
54,0,0,2,18,170,0,8,4483,3,4,23,55,2,45
55,4,3,0,66,975,1,8,14231,24,3,19,45,12,0
56,1,0,2,3,905,2,8,17345,1,3,8,50,23,55
57,10,1,4,127,135,0,8,7414,6,3,7,5,9,20
58,6,2,1,104,390,1,8,8073,6,5,19,0,1,30
59,10,4,3,45,1505,1,8,12395,6,3,15,40,16,45
60,1,3,0,66,745,1,8,8366,6,6,9,25,21,50
61,1,2,1,121,1640,1,8,5117,3,4,6,5,9,25
62,6,2,1,104,615,1,8,12524,3,6,8,45,19,0
63,3,2,1,104,630,1,8,7191,15,5,15,0,1,30
64,10,1,4,127,135,0,8,3687,24,5,7,5,9,20
65,3,2,1,104,625,1,8,5894,24,6,10,35,21,0
66,10,0,2,18,170,0,8,5403,24,4,9,45,12,35
67,1,4,3,48,90,0,8,3625,6,5,13,55,15,25
68,1,2,1,102,800,2,8,10861,21,5,5,55,19,15
69,3,1,4,127,135,0,8,6297,12,3,13,20,15,35
70,4,4,3,48,85,0,8,5678,1,6,7,5,8,30
71,4,0,2,5,1590,1,5,9134,9,3,5,45,8,15
72,6,2,1,104,440,1,5,10791,24,6,11,40,19,0
73,4,2,1,97,810,2,8,12819,24,6,23,5,12,35
74,3,2,1,103,300,1,8,6893,21,3,5,5,10,5
75,10,0,2,18,165,0,8,7240,9,3,9,50,12,35
76,2,0,2,18,170,0,8,3898,3,4,11,40,14,30
77,3,4,3,48,90,0,8,4049,3,4,6,25,7,55
78,4,2,1,104,1145,1,5,10262,15,6,17,30,12,35
79,8,1,4,127,135,0,7,3332,21,3,8,20,10,35
80,4,3,0,66,890,1,5,10844,9,6,21,10,12,0
81,4,0,2,18,160,0,8,7229,24,3,19,55,22,35
82,4,3,0,66,1330,1,8,13941,6,5,6,30,4,40
83,3,2,1,104,575,1,8,5894,27,6,11,25,21,0
84,6,2,1,104,600,1,8,10197,18,5,9,0,19,0
85,4,0,2,5,1280,1,5,13712,6,3,14,5,11,25
86,3,2,1,121,325,1,8,5636,24,6,2,0,7,25
87,4,2,1,116,1125,2,8,13014,6,6,9,40,4,25
88,4,3,0,66,740,1,5,7064,1,4,8,25,20,45
89,4,3,0,73,1080,1,5,10703,24,5,20,25,14,25
90,6,2,1,111,555,1,8,9646,27,5,13,15,22,30
91,6,2,1,104,665,1,8,17057,6,3,2,15,13,20
92,4,0,2,5,1050,1,8,13817,12,3,16,55,10,25
93,1,2,1,102,800,2,8,13748,6,3,5,55,19,15
94,1,3,0,64,155,0,8,4880,21,4,20,45,23,20
95,3,1,4,127,145,0,8,3540,21,6,5,15,7,40
96,8,0,2,18,160,0,7,3257,15,5,5,55,8,35
97,4,0,2,18,180,0,5,6478,3,6,19,50,22,50
98,4,4,3,48,85,0,8,8040,18,6,7,5,8,30
99,4,2,1,99,995,2,8,14300,12,6,20,0,12,35
100,4,3,0,66,740,1,8,14781,15,5,8,25,20,45
101,4,3,0,66,735,1,8,14939,9,6,20,0,8,15
102,4,2,1,104,450,1,5,10262,24,6,20,55,4,25
103,1,3,0,90,1440,1,8,6528,12,5,14,35,14,35
104,1,0,2,18,165,0,8,6121,1,5,6,10,8,55
105,4,2,1,116,535,2,5,13029,18,5,19,30,4,25
106,6,2,1,104,430,1,8,11421,27,3,11,40,18,50
107,6,2,1,104,870,1,8,7574,27,3,4,45,19,15
108,1,2,1,117,1820,2,8,11596,9,5,12,55,19,15
109,4,2,1,97,1195,2,8,15129,24,5,23,5,19,0
110,4,0,2,5,900,1,8,13555,18,3,14,5,5,5
111,3,0,2,18,175,0,8,5780,12,4,18,55,21,50
112,10,3,0,73,765,1,8,9397,12,5,20,20,9,5
113,4,2,1,104,610,1,8,17024,6,3,18,15,4,25
114,2,2,1,104,355,1,8,5281,27,6,7,0,12,55
115,6,2,1,111,925,1,8,10348,18,5,7,5,22,30
116,1,2,1,121,965,1,8,12677,6,3,17,20,9,25
117,6,2,1,104,610,1,8,15147,3,3,15,25,1,35
118,10,0,2,18,160,0,8,4668,12,6,7,0,9,40
119,4,2,1,104,715,1,8,15554,9,5,7,5,19,0
120,8,0,2,18,160,0,8,3971,9,4,5,55,8,35
121,1,4,3,48,85,0,8,3100,3,5,15,0,16,25
122,4,3,0,66,845,1,5,9663,6,5,20,0,10,5
123,1,2,1,104,1215,1,8,27430,1,3,23,0,19,15
124,3,1,4,127,145,0,8,3540,12,5,5,15,7,40
125,1,3,0,61,1390,2,8,10676,21,5,12,0,11,10
126,4,3,0,66,1090,1,8,13044,12,6,14,5,8,15
127,4,3,0,66,960,1,8,14388,6,5,20,0,12,0
128,3,0,2,18,170,0,8,3943,24,6,4,0,6,50
129,3,1,4,127,140,0,8,3597,3,6,14,45,17,5
130,1,0,2,28,480,1,8,5932,21,3,11,50,19,50
131,4,2,1,104,1015,1,5,10262,15,6,11,30,4,25
132,10,2,1,106,190,0,8,6216,12,5,14,40,17,50
133,3,3,0,64,165,0,8,4804,15,6,20,25,23,10
134,6,2,1,104,840,1,8,14067,21,5,11,30,1,30
135,4,2,1,97,1430,2,8,15129,18,5,19,10,19,0
136,4,2,1,122,1300,2,8,13376,6,6,6,45,4,25
137,1,2,1,108,1275,2,8,10441,27,6,22,0,19,15
138,4,0,2,18,165,0,5,4030,24,5,6,0,8,45
139,4,2,1,104,650,1,8,17024,3,3,8,0,18,50
140,6,2,1,104,480,1,8,13017,9,4,17,30,1,30
141,2,3,0,66,495,1,8,6686,6,6,23,30,7,45
142,3,2,1,121,325,1,8,5636,15,6,2,0,7,25
143,3,2,1,111,515,1,8,6442,9,6,7,35,16,10
144,6,2,1,111,710,1,8,9486,21,5,13,5,0,55
145,4,3,0,66,1655,1,5,10844,21,5,20,0,23,35
146,4,2,1,99,505,2,5,15318,3,6,20,0,4,25
147,1,2,1,121,1255,1,8,5117,3,4,12,30,9,25
148,3,2,1,103,290,1,8,6147,24,6,15,10,20,0
149,6,2,1,104,490,1,8,7005,9,6,12,50,21,0
150,8,3,0,64,140,0,8,3873,3,4,22,20,0,40
151,4,2,1,101,1465,2,5,9270,21,3,18,25,18,50
152,2,0,2,18,170,0,8,3898,27,6,11,40,14,30
153,4,3,0,66,740,1,8,14781,12,5,8,25,20,45
154,4,3,0,66,735,1,5,8586,24,5,20,0,8,15
155,1,3,0,87,1415,2,8,10697,9,5,8,20,7,55
156,4,2,1,99,995,2,8,14300,27,6,20,0,12,35
157,3,0,2,18,170,0,8,8855,3,3,18,55,21,45
158,4,3,0,66,1545,1,5,10844,12,5,16,30,18,15
159,4,2,1,104,1570,1,8,17024,6,3,2,15,4,25
160,4,3,0,73,1730,1,5,9314,1,5,9,35,14,25
161,3,0,2,18,165,0,8,4777,24,3,0,40,3,25
162,1,3,0,60,1515,1,8,7662,9,6,12,0,13,15
163,3,2,1,111,560,1,8,6442,9,5,6,50,16,10
164,8,2,1,123,270,1,8,5264,12,6,8,45,13,15
165,4,2,1,104,925,1,5,12898,27,5,13,0,4,25
166,1,4,3,48,90,0,8,6092,3,3,13,55,15,25
167,8,0,2,18,160,0,8,3311,21,5,5,55,8,35
168,4,2,1,104,550,1,5,6540,27,3,19,15,4,25
169,3,0,2,18,165,0,8,3419,27,5,1,30,4,15
170,4,2,1,104,1355,1,5,5177,3,4,14,0,12,35
171,1,2,1,106,185,0,8,8246,18,4,18,5,21,10
172,4,3,0,73,690,1,8,14676,9,6,9,35,21,5
173,6,2,1,104,570,1,8,13587,27,6,11,30,21,0
174,4,3,0,66,730,1,5,9663,6,5,21,10,9,20
175,4,3,0,66,1055,1,8,13044,12,6,16,30,10,5
176,3,2,1,104,305,1,8,5073,3,4,20,25,1,30
177,10,3,0,73,1550,1,8,9345,21,5,17,0,18,50
178,4,3,0,66,1200,1,5,9663,6,5,14,5,10,5
179,6,2,1,104,780,1,8,14277,21,5,8,0,21,0
180,4,2,1,104,1105,1,5,10262,1,6,10,0,4,25
181,4,4,3,48,90,0,8,5678,27,3,19,35,21,5
182,6,2,1,104,570,1,8,13727,15,5,16,0,1,30
183,4,3,0,66,960,1,5,9663,6,5,20,0,12,0
184,3,1,4,127,140,0,8,3858,12,5,14,45,17,5
185,8,2,1,123,270,1,8,4812,24,6,8,45,13,15
186,3,2,1,119,345,1,8,5775,27,6,21,50,3,35
187,4,3,0,73,1450,1,5,10539,6,6,9,35,9,45
188,3,3,0,64,155,0,8,4804,3,6,15,30,18,5
189,0,0,2,18,165,0,8,3383,12,6,11,10,13,55
190,3,0,2,24,295,1,8,8738,3,3,12,10,17,5
191,1,2,1,125,1535,1,8,7165,27,3,5,15,6,50
192,3,2,1,111,380,1,8,6412,24,6,16,10,22,30
193,4,0,2,18,185,0,8,8016,27,6,18,55,22,0
194,4,0,2,5,1120,1,5,11087,12,3,20,35,15,15
195,8,1,4,127,135,0,7,3543,27,6,9,45,12,0
196,4,3,0,66,730,1,8,12471,12,6,16,30,4,40
197,4,2,1,104,1165,1,5,10262,24,6,9,0,4,25
198,1,0,2,18,170,0,8,4441,18,3,13,20,16,10
199,6,2,1,104,505,1,8,12537,27,3,7,5,15,30
200,2,3,0,66,555,1,8,10091,24,3,22,25,7,40
201,1,0,2,18,170,0,8,6961,3,6,21,5,23,55
202,3,2,1,106,195,0,8,5013,24,4,5,35,8,50
203,1,2,1,106,170,0,8,6934,18,5,5,10,8,0
204,6,2,1,104,740,1,8,10877,3,6,6,40,19,0
205,4,0,2,18,175,0,8,7229,18,4,15,15,18,10
206,3,2,1,104,575,1,8,7048,27,3,16,0,1,35
207,10,0,2,18,155,0,8,4878,27,6,17,0,19,35
208,4,3,0,66,570,1,5,10844,21,5,14,5,23,35
209,4,2,1,97,1760,2,8,15129,18,5,23,5,4,25
210,3,0,2,18,175,0,8,3943,12,5,0,30,3,25
211,8,2,1,121,315,1,8,5583,6,6,6,5,11,20
212,6,2,1,111,545,1,8,9646,6,6,7,5,16,10
213,6,2,1,104,645,1,8,7677,3,6,8,30,19,15
214,3,2,1,103,295,1,8,6842,1,6,5,10,10,5
215,4,4,3,48,90,0,5,4995,24,6,8,45,10,15
216,10,3,0,73,700,1,8,9555,9,6,7,10,18,50
217,3,0,2,18,165,0,8,4077,1,6,1,30,4,15
218,4,0,2,18,175,0,8,7229,12,5,15,15,18,10
219,6,2,1,104,600,1,8,12192,9,6,9,0,19,0
220,1,0,2,18,165,0,8,5911,12,4,10,0,12,45
221,1,2,1,104,615,1,8,8372,12,6,9,0,19,15
222,4,4,3,48,85,0,5,4995,18,3,7,10,8,35
223,6,2,1,104,555,1,8,14323,9,5,10,0,19,15
224,4,2,1,116,1375,2,8,13014,9,6,5,30,4,25
225,1,2,1,105,1730,2,8,13591,6,6,14,25,19,15
226,4,2,1,113,2245,2,8,18799,3,3,5,25,18,50
227,3,0,2,18,170,0,8,3943,27,4,23,30,2,20
228,8,4,3,48,90,0,7,1965,21,5,5,45,7,15
229,4,4,3,48,90,0,5,4995,27,5,10,20,11,50
230,1,3,0,66,1540,1,8,14641,24,3,16,50,18,30
231,1,3,0,64,155,0,8,4460,12,4,20,45,23,20
232,1,2,1,104,375,1,8,10191,18,5,13,0,19,15
233,4,2,1,104,1050,1,5,13843,9,3,2,15,19,45
234,3,2,1,119,345,1,8,6349,1,5,21,50,3,35
235,0,3,0,64,155,0,8,4409,1,5,10,20,12,55
236,4,2,1,104,1530,1,8,17024,6,3,18,15,19,45
237,6,2,1,104,835,1,8,13727,18,5,7,5,21,0
238,3,0,2,18,175,0,8,8855,15,3,18,25,21,20
239,6,2,1,104,615,1,8,12524,24,6,8,45,19,0
240,4,0,2,5,520,1,8,13555,18,3,11,40,20,20
241,4,3,0,66,330,1,5,10844,6,6,6,30,12,0
242,6,2,1,104,720,1,8,13587,9,6,9,0,21,0
243,8,1,4,127,135,0,7,3543,12,6,9,45,12,0
244,10,1,4,127,135,0,8,4842,18,3,7,5,9,20
245,3,0,2,18,170,0,8,3943,24,4,23,30,2,20
246,4,2,1,104,550,1,5,10577,9,6,19,15,4,25
247,3,2,1,104,625,1,8,6979,15,5,10,35,21,0
248,10,1,4,127,140,0,8,11982,27,6,17,45,20,5
249,8,2,1,123,270,1,8,5264,6,6,8,45,13,15
250,10,2,1,106,190,0,8,8001,3,3,6,0,9,10
251,1,2,1,97,1410,2,8,10651,1,6,19,45,19,15
252,4,3,0,66,1640,1,5,10844,24,5,16,30,19,50
253,6,2,1,111,755,1,8,6601,27,3,9,45,22,20
254,1,2,1,104,1455,1,8,6587,21,3,19,0,19,15
255,8,4,3,48,80,0,8,3173,21,3,13,10,14,30
256,1,0,2,18,165,0,8,5228,9,5,10,0,12,45
257,4,0,2,18,180,0,5,5769,21,6,7,10,10,10
258,4,2,1,104,660,1,8,14714,6,6,8,0,19,0
259,4,2,1,116,810,2,8,13014,3,6,5,30,19,0
260,3,0,2,18,170,0,8,3359,3,6,22,10,1,0
261,2,0,2,18,175,0,8,6722,3,3,20,55,23,50
262,3,3,0,64,165,0,8,4462,18,3,9,35,12,20
263,3,2,1,111,675,1,8,6171,9,3,4,55,16,10
264,1,3,0,85,875,2,8,12303,21,5,5,50,20,25
265,6,2,1,104,835,1,8,7695,21,3,11,40,1,35
266,3,2,1,104,845,1,8,5684,24,6,11,25,1,30
267,1,3,0,66,905,1,8,8366,12,6,16,50,7,55
268,1,1,4,127,135,0,8,19630,1,3,11,40,13,55
269,4,0,2,5,900,1,5,13502,6,3,14,5,5,5
270,4,3,0,66,775,1,8,14781,1,5,21,10,10,5
271,6,2,1,111,540,1,8,6513,12,6,7,10,16,10
272,1,2,1,104,735,1,8,9929,1,6,7,0,19,15
273,6,2,1,115,460,2,8,18275,6,6,17,50,1,30
274,1,2,1,121,1640,1,8,4487,9,4,6,5,9,25
275,3,4,3,48,85,0,8,2754,15,3,21,20,22,45
276,1,4,3,48,80,0,8,2575,27,3,6,20,7,40
277,8,3,0,82,330,1,8,8224,12,6,15,55,21,25
278,1,2,1,103,705,1,8,8991,9,3,20,30,8,15
279,3,2,1,106,195,0,8,5000,24,6,5,35,8,50
280,4,3,0,66,1495,1,5,8529,12,6,18,55,19,50
281,1,2,1,121,1640,1,8,14042,3,3,6,5,9,25
282,4,0,2,18,175,0,5,4030,24,5,11,10,14,5
283,4,3,0,66,1025,1,5,10844,6,6,18,55,12,0
284,3,3,0,64,160,0,8,4804,6,5,21,25,0,5
285,6,2,1,104,480,1,5,7308,27,5,17,30,1,30
286,3,0,2,18,180,0,8,4823,12,5,16,55,19,55
287,4,2,1,104,1655,1,5,10262,24,6,9,0,12,35
288,4,2,1,104,450,1,5,12898,27,5,20,55,4,25
289,1,0,2,9,1375,2,8,12778,12,3,17,25,16,20
290,3,2,1,104,515,1,8,14871,3,3,4,45,13,20
291,1,2,1,126,1795,2,8,8708,21,3,13,20,19,15
292,4,3,0,66,1335,1,5,10844,6,6,20,0,18,15
293,8,4,3,48,80,0,8,4129,6,3,5,45,7,5
294,3,3,0,64,160,0,8,4804,18,5,21,25,0,5
295,4,0,2,18,180,0,8,7229,6,5,8,20,11,20
296,4,0,2,5,730,1,5,7832,21,3,7,0,19,10
297,8,1,4,127,155,0,8,3859,18,3,9,30,12,5
298,6,2,1,104,705,1,8,9001,6,6,7,30,19,15
299,10,0,2,18,155,0,8,4878,9,5,17,0,19,35
300,3,4,3,48,90,0,8,2754,3,5,2,35,4,5
301,10,0,2,18,160,0,8,4668,27,6,7,0,9,40
302,0,3,0,64,155,0,8,5216,12,5,10,20,12,55
303,4,2,1,116,1375,2,5,10368,6,6,5,30,4,25
304,3,2,1,112,880,2,8,8146,9,3,6,40,21,20
305,4,2,1,104,925,1,8,12242,27,3,13,0,4,25
306,4,0,2,5,435,1,5,9134,15,3,8,0,15,15
307,1,2,1,112,1210,2,8,10939,6,6,13,15,9,25
308,1,2,1,108,1245,2,8,11753,6,6,10,55,7,40
309,8,3,0,64,150,0,8,4174,24,4,17,10,19,40
310,4,3,0,66,1430,1,5,10844,21,5,20,0,19,50
311,4,2,1,104,1620,1,8,14714,3,6,16,0,19,0
312,4,3,0,66,330,1,5,9899,12,6,6,30,12,0
313,3,2,1,104,710,1,8,14871,3,3,9,10,21,0
314,3,1,4,127,135,0,8,7295,6,3,13,20,15,35
315,1,2,1,116,1470,2,8,13465,6,6,18,45,19,15
316,8,1,4,127,140,0,7,3543,21,5,17,45,20,5
317,6,2,1,104,390,1,8,7198,27,6,19,0,1,30
318,4,2,1,104,1225,1,5,10262,1,6,8,0,4,25
319,3,3,0,64,155,0,8,4148,15,3,15,20,17,55
320,4,0,2,18,175,0,8,8016,27,6,15,15,18,10
321,4,2,1,104,335,1,5,10262,9,6,22,50,4,25
322,8,3,0,64,150,0,7,3841,15,6,14,55,17,25
323,4,0,2,28,885,1,8,11507,12,3,9,45,0,30
324,4,3,0,66,740,1,8,14781,1,5,8,25,20,45
325,4,2,1,104,1530,1,8,16079,27,5,17,30,19,0
326,4,2,1,104,335,1,5,12898,27,5,22,50,4,25
327,6,2,1,104,705,1,8,15353,6,3,7,30,19,15
328,3,0,2,18,175,0,8,7303,24,3,18,25,21,20
329,8,3,0,90,340,1,8,6197,24,3,15,5,20,45
330,1,3,0,60,245,1,8,8996,9,6,9,10,13,15
